SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
GPIL,235.43,253.00,232.90,235.43,251.10,-,15.67,6.66,4360351,107.44,320.00,197.10,2.76,23.84
NUVAMA,"1,679.00","1,740.00","1,675.20","1,670.10","1,734.90",-,64.8,3.88,620062,106.21,"2,066.00","1,096.90",-6.88,24.65
MIDHANI,418.45,437.40,413.05,416.70,428.05,-,11.35,2.72,2406627,103.47,456.60,266.65,4.91,8.0
CAMS,762.20,776.25,755.55,762.25,776.25,-,14.0,1.84,1314547,100.72,844.90,611.40,3.35,0.33
NAVINFLUOR,"8,255.00","8,288.50","8,110.00","8,235.00","8,149.50",-,-85.5,-1.04,123002,100.71,"8,775.50","4,498.50",7.53,63.06
ASTERDM,822.35,844.90,816.20,822.35,819.60,-,-2.75,-0.33,1180504,97.62,891.30,519.10,-0.04,35.34
JYOTHYLAB,199.36,215.00,196.28,199.36,214.70,-,15.34,7.69,4700675,97.23,352.70,188.10,7.19,-35.18
MEESHO,191.00,194.56,191.00,191.16,193.90,-,2.74,1.43,5004269,96.84,254.40,125.56,3.21,0.0
FORCEMOT,"18,300.00","18,740.00","18,261.00","18,361.00","18,605.00",-,244.0,1.33,52072,96.63,"26,450.00","14,911.00",1.98,-5.43
MANAPPURAM,347.05,350.35,344.20,349.00,348.60,-,0.6,0.17,2734419,94.99,381.55,245.15,7.11,31.05
PCJEWELLER,9.65,9.84,9.56,9.64,9.78,-,0.14,1.45,97016852,94.11,15.38,7.47,0.82,-24.42
BALRAMCHIN,633.00,658.70,630.70,624.85,656.00,-,31.15,4.99,1396378,90.63,665.50,393.55,8.53,16.02
CONCORDBIO,"1,451.40","1,535.90","1,437.20","1,451.30","1,524.00",-,72.7,5.01,599262,90.40,"1,801.90",987.00,13.49,-7.21
KPIGREEN,319.00,319.00,301.20,319.00,303.00,-,-16.0,-5.02,2908257,88.98,542.25,301.20,-26.03,-40.43
RRKABEL,"2,779.10","2,793.60","2,708.30","2,785.60","2,757.00",-,-28.6,-1.03,320939,88.35,"2,848.00","1,165.00",20.22,127.51
ATLANTAELE,"1,709.80","1,816.80","1,683.00","1,680.80","1,815.00",-,134.2,7.98,500044,88.13,"2,152.60",707.60,6.87,0.0
ELGIEQUIP,614.00,626.55,603.20,609.50,625.00,-,15.5,2.54,1399590,86.75,633.85,408.25,7.44,26.75
GESHIP,"1,281.10","1,299.40","1,261.00","1,284.50","1,279.00",-,-5.5,-0.43,680888,86.73,"1,798.00",922.50,-4.94,31.75
BECTORFOOD,242.34,257.50,238.10,240.37,256.10,-,15.73,6.54,3461884,86.38,299.00,165.00,35.77,-8.23
JYOTICNC,829.80,860.00,829.80,826.90,853.50,-,26.6,3.22,1004133,85.32,"1,055.90",580.10,9.21,-7.03
DEEPAKNTR,"1,728.60","1,787.50","1,723.30","1,723.20","1,781.10",-,57.9,3.36,476775,84.10,"1,904.40","1,280.00",4.28,-4.07
J&KBANK,154.00,154.80,147.13,155.48,148.20,-,-7.28,-4.68,5611294,83.70,201.75,97.35,-18.88,42.46
REDINGTON,334.65,344.00,330.70,334.05,333.80,-,-0.25,-0.07,2339195,78.89,364.50,191.31,21.36,40.78
NSLNISP,43.00,43.78,40.48,44.50,41.94,-,-2.56,-5.75,18817302,77.98,53.75,33.01,-2.44,4.64
RKFORGE,738.85,759.00,733.95,732.60,753.55,-,20.95,2.86,1027756,76.82,763.50,460.15,32.61,33.32
COHANCE,439.10,459.80,437.80,440.65,447.00,-,6.35,1.44,1708901,76.62,"1,038.90",266.70,1.15,-51.09
VGUARD,326.75,345.90,326.25,326.75,345.00,-,18.25,5.59,2297117,76.47,392.20,288.80,14.94,-4.15
SANSERA,"3,938.50","4,019.90","3,893.50","3,924.60","3,980.00",-,55.4,1.41,192345,76.29,"4,038.00","1,241.30",23.65,210.99
HEG,704.00,710.80,688.45,701.00,697.50,-,-3.5,-0.5,1071949,75.04,711.20,459.80,18.75,38.31
NATCOPHARM,896.10,897.10,870.20,903.15,894.00,-,-9.15,-1.01,844481,74.88,"1,226.80",789.00,-5.4,2.24
AEGISLOG,"1,266.00","1,298.90","1,261.00","1,265.40","1,288.00",-,22.6,1.79,573952,73.88,"1,497.80",576.10,-4.53,83.96
BEML,"1,890.00","1,929.00","1,880.40","1,874.40","1,909.30",-,34.9,1.86,386580,73.79,"2,275.75","1,355.00",5.35,-5.8
UTLSOLAR,425.20,466.20,425.20,423.85,466.20,-,42.35,9.99,1613583,73.26,466.20,172.00,27.67,0.0
RAYMOND,634.80,648.90,628.00,635.45,646.20,-,10.75,1.69,1136588,73.10,679.00,320.00,6.85,5.6
ZENTEC,"1,873.00","1,896.60","1,852.40","1,857.20","1,866.00",-,8.8,0.47,388352,72.69,"2,024.00","1,223.00",5.44,32.66
SUDARSCHEM,"1,115.00","1,130.00","1,080.10","1,118.10","1,095.80",-,-22.3,-1.99,651251,72.21,"1,603.00",726.40,5.6,-24.2
GRSE,"2,622.00","2,650.00","2,590.00","2,618.60","2,601.50",-,-17.1,-0.65,276098,72.09,"3,339.00","1,963.70",0.79,0.53
CUB,208.00,216.40,204.81,208.64,214.85,-,6.21,2.98,3296615,69.97,245.38,145.13,-4.35,35.56
KIRLOSENG,"2,100.10","2,122.00","2,070.00","2,100.10","2,098.00",-,-2.1,-0.1,327449,68.55,"2,720.00",855.80,-6.99,132.47
TRIVENI,268.93,287.20,268.37,266.42,279.50,-,13.08,4.91,2440871,68.43,490.10,220.05,-40.8,-15.76
WABAG,"1,930.00","1,932.90","1,876.40","1,904.60","1,898.00",-,-6.6,-0.35,347369,65.70,"2,253.50","1,033.00",-4.68,19.82
QPOWER,"1,260.00","1,311.70","1,256.10","1,249.30","1,304.00",-,54.7,4.38,502379,65.58,"1,441.00",581.00,12.12,68.05
UJJIVANSFB,72.63,72.80,71.38,72.47,72.11,-,-0.36,-0.5,9089704,65.50,73.29,41.32,11.14,73.05
